TRX_ID,JRSTORE,JRREGNUM,JRDATE,JRTIME,JRCASHIER,JRCUST
36933077,65058,001,2015-02-27 00:00:00.000000000,17:48,14533,79825
36933083,650441,002,2015-02-27 00:00:00.000000000,15:15,12515,164189
36933084,650441,002,2015-02-27 00:00:00.000000000,16:40,12515,1737267
36933085,650441,002,2015-02-27 00:00:00.000000000,16:43,12515,231550
36933089,650441,002,2015-02-27 00:00:00.000000000,18:42,04996,383012
36933090,650441,002,2015-02-27 00:00:00.000000000,18:59,04996,0
36933091,650441,002,2015-02-27 00:00:00.000000000,19:04,04996,266173
36933117,65043,001,2015-02-27 00:00:00.000000000,11:04,12501,98808
36933125,65044,001,2015-02-27 00:00:00.000000000,16:02,12515,147417
36933129,65044,001,2015-02-27 00:00:00.000000000,17:38,04996,0
36933131,65044,001,2015-02-27 00:00:00.000000000,20:40,04996,157743
36933138,65043,001,2015-02-27 00:00:00.000000000,20:32,12504,49132
36933148,65044,001,2015-02-27 00:00:00.000000000,10:55,12515,136964
36933149,65044,001,2015-02-27 00:00:00.000000000,11:43,12515,2043719
36933151,65044,001,2015-02-27 00:00:00.000000000,16:17,12515,0
36933157,65060,001,2015-02-27 00:00:00.000000000,17:39,12528,2043523
36933158,65060,001,2015-02-27 00:00:00.000000000,18:02,12528,1721064
36933162,65060,001,2015-02-27 00:00:00.000000000,19:41,12528,84319
36933168,650601,002,2015-02-27 00:00:00.000000000,13:09,06632,672060
36933169,650601,002,2015-02-27 00:00:00.000000000,15:08,06632,2037790
36933170,650601,002,2015-02-27 00:00:00.000000000,15:11,06632,2037790
36933171,650601,002,2015-02-27 00:00:00.000000000,17:27,12528,2043524
36933174,650601,002,2015-02-27 00:00:00.000000000,20:29,12528,73478
36933177,650431,002,2015-02-27 00:00:00.000000000,17:28,12504,0
36933180,65044,001,2015-02-27 00:00:00.000000000,16:16,12515,0
36933182,65044,001,2015-02-27 00:00:00.000000000,18:55,04996,695231
36933186,650441,002,2015-02-27 00:00:00.000000000,13:09,12515,162404
36933187,650441,002,2015-02-27 00:00:00.000000000,13:19,12515,0
36933188,650441,002,2015-02-27 00:00:00.000000000,14:30,12515,1940669
36933191,650441,002,2015-02-27 00:00:00.000000000,16:06,12515,1993804
36933193,650441,002,2015-02-27 00:00:00.000000000,16:35,12515,0
36933197,65060,001,2015-02-27 00:00:00.000000000,14:53,06632,0
36933200,65060,001,2015-02-27 00:00:00.000000000,18:34,12528,0
36933201,65060,001,2015-02-27 00:00:00.000000000,19:04,12528,1775964
36933210,650601,002,2015-02-27 00:00:00.000000000,18:09,12528,256637
36933221,65058,001,2015-02-27 00:00:00.000000000,19:03,14533,360320
36933222,65058,001,2015-02-27 00:00:00.000000000,19:41,14533,2028120
36933230,65060,001,2015-02-27 00:00:00.000000000,10:18,06632,1391068
36933231,65060,001,2015-02-27 00:00:00.000000000,13:03,06632,355906
36933234,65043,001,2015-02-27 00:00:00.000000000,12:06,12501,269843
36933235,65043,001,2015-02-27 00:00:00.000000000,12:17,12501,2043877
36933238,65043,001,2015-02-27 00:00:00.000000000,15:41,12501,2043878
36933240,65043,001,2015-02-27 00:00:00.000000000,17:10,12504,2035181
36933249,650431,002,2015-02-27 00:00:00.000000000,20:34,12504,76744
36933251,650441,002,2015-02-27 00:00:00.000000000,15:20,12515,1898514
36933258,650441,002,2015-02-27 00:00:00.000000000,17:27,04996,1248645
36933259,650441,002,2015-02-27 00:00:00.000000000,17:42,04996,776518
36933260,650441,002,2015-02-27 00:00:00.000000000,17:55,04996,0
36933261,650441,002,2015-02-27 00:00:00.000000000,18:03,04996,289723
36933262,650441,002,2015-02-27 00:00:00.000000000,18:12,04996,243387
36933265,650441,002,2015-02-27 00:00:00.000000000,19:28,04996,2029227
36933266,650441,002,2015-02-27 00:00:00.000000000,20:37,04996,1783783
36933270,65044,001,2015-02-27 00:00:00.000000000,19:05,04996,389414
36933274,650441,002,2015-02-27 00:00:00.000000000,15:18,12515,0
36933277,650441,002,2015-02-27 00:00:00.000000000,15:59,12515,697062
36933278,650441,002,2015-02-27 00:00:00.000000000,16:37,12515,1575
36933283,650441,002,2015-02-27 00:00:00.000000000,19:13,04996,1429783
36933284,650441,002,2015-02-27 00:00:00.000000000,19:33,04996,879124
36933285,650441,002,2015-02-27 00:00:00.000000000,19:40,04996,1779195
36933289,650601,002,2015-02-27 00:00:00.000000000,20:53,12528,342242
36933310,650441,002,2015-02-27 00:00:00.000000000,18:23,04996,0
36933312,650441,002,2015-02-27 00:00:00.000000000,19:44,04996,904476
36933314,650441,002,2015-02-27 00:00:00.000000000,19:50,04996,154514
36933315,650441,002,2015-02-27 00:00:00.000000000,19:58,04996,297008
36933347,65060,001,2015-02-27 00:00:00.000000000,13:30,06632,871537
36933353,65060,001,2015-02-27 00:00:00.000000000,18:25,12528,2043522
36933354,65060,001,2015-02-27 00:00:00.000000000,18:29,12528,2043522
36933355,65060,001,2015-02-27 00:00:00.000000000,18:46,12528,250736
36933356,65060,001,2015-02-27 00:00:00.000000000,19:35,12528,1814636
36933358,65060,001,2015-02-27 00:00:00.000000000,20:28,12528,0
36933359,65060,001,2015-02-27 00:00:00.000000000,21:58,12528,72766
36933368,65044,001,2015-02-27 00:00:00.000000000,14:34,12515,0
36933370,65044,001,2015-02-27 00:00:00.000000000,14:53,12515,963799
36933371,65044,001,2015-02-27 00:00:00.000000000,16:15,12515,0
36933373,65044,001,2015-02-27 00:00:00.000000000,18:45,04996,0
36933376,650441,002,2015-02-27 00:00:00.000000000,12:16,12515,671789
36933377,650441,002,2015-02-27 00:00:00.000000000,14:20,12515,0
36933378,650441,002,2015-02-27 00:00:00.000000000,15:38,12515,2040534
36933379,650441,002,2015-02-27 00:00:00.000000000,17:00,04996,0
36933380,650441,002,2015-02-27 00:00:00.000000000,17:13,04996,0
36933382,650441,002,2015-02-27 00:00:00.000000000,18:26,04996,0
36933390,65058,001,2015-02-27 00:00:00.000000000,10:30,14533,80633
36933398,65060,001,2015-02-27 00:00:00.000000000,18:20,12528,1809370
36933412,65058,001,2015-02-27 00:00:00.000000000,10:39,14533,0
36933414,65058,001,2015-02-27 00:00:00.000000000,13:13,14533,2017270
36933415,65058,001,2015-02-27 00:00:00.000000000,16:26,14533,477197
36933418,65058,001,2015-02-27 00:00:00.000000000,18:39,14533,1785640
36933419,65058,001,2015-02-27 00:00:00.000000000,19:33,14533,1015137
36933420,65058,001,2015-02-27 00:00:00.000000000,21:15,14533,271008
36933443,650601,002,2015-02-27 00:00:00.000000000,16:34,12528,0
36933446,650601,002,2015-02-27 00:00:00.000000000,16:42,12528,1871159
36933448,650601,002,2015-02-27 00:00:00.000000000,17:33,12528,2043525
36933471,65063,001,2015-02-27 00:00:00.000000000,12:51,13595,2007190
36933476,65063,001,2015-02-27 00:00:00.000000000,15:55,13595,1913112
36933482,65058,001,2015-02-27 00:00:00.000000000,10:53,14533,480171
36933483,65058,001,2015-02-27 00:00:00.000000000,14:39,14533,79488
36933485,65058,001,2015-02-27 00:00:00.000000000,18:10,14533,2043625
36933486,65058,001,2015-02-27 00:00:00.000000000,20:01,14533,1985883
36933487,65058,001,2015-02-27 00:00:00.000000000,20:31,14533,251512
36933491,65060,001,2015-02-27 00:00:00.000000000,17:23,12528,2043525
36933492,65060,001,2015-02-27 00:00:00.000000000,17:29,12528,59358
36933494,65060,001,2015-02-27 00:00:00.000000000,19:27,12528,1109654
36933495,65060,001,2015-02-27 00:00:00.000000000,19:39,12528,0
36933506,65058,001,2015-02-27 00:00:00.000000000,13:51,14533,231878
36933507,65058,001,2015-02-27 00:00:00.000000000,15:16,14533,1842670
36933509,65058,001,2015-02-27 00:00:00.000000000,17:57,14533,0
36933512,65058,001,2015-02-27 00:00:00.000000000,19:06,14533,318297
36933513,65058,001,2015-02-27 00:00:00.000000000,21:31,14533,1757237
36933516,65060,001,2015-02-27 00:00:00.000000000,13:39,06632,2043526
36933539,65060,001,2015-02-27 00:00:00.000000000,14:40,06632,813474
36933540,65060,001,2015-02-27 00:00:00.000000000,15:03,06632,956415
36933545,65060,001,2015-02-27 00:00:00.000000000,19:31,12528,1109654
36933547,65060,001,2015-02-27 00:00:00.000000000,19:46,12528,172713
36933548,65060,001,2015-02-27 00:00:00.000000000,20:09,12528,676493
36933551,65060,001,2015-02-27 00:00:00.000000000,20:41,12528,2043521
36933553,65060,001,2015-02-27 00:00:00.000000000,21:04,12528,490687
36933560,65063,001,2015-02-27 00:00:00.000000000,12:14,13595,2010707
36933561,65063,001,2015-02-27 00:00:00.000000000,12:14,13595,1870506
36933563,65063,001,2015-02-27 00:00:00.000000000,13:27,13595,133184
36933582,65063,001,2015-02-27 00:00:00.000000000,10:44,13595,2043992
36933584,65063,001,2015-02-27 00:00:00.000000000,12:09,13595,2010707
36933587,65063,001,2015-02-27 00:00:00.000000000,14:42,13595,101461
36933591,65063,001,2015-02-27 00:00:00.000000000,17:33,13595,0
36933596,65063,001,2015-02-27 00:00:00.000000000,18:48,00194,1933751
36933597,65063,001,2015-02-27 00:00:00.000000000,19:21,00194,678125
36933601,65063,001,2015-02-27 00:00:00.000000000,20:58,00194,2043972
36933602,65063,001,2015-02-27 00:00:00.000000000,21:20,00194,2043971
