barcode,cat_code,cat_desc,rng_code,rng_desc,sku_code,sku_desc,lifecycle_desc,contents_unit,contents_value,physical_height,physical_length,physical_width,physical_unit,weight_unit,weight_value
2000000146683,50,GWP/15,999,OTHERS,0000000016287,FREE - MACAROOT ENERGETIC F/PROTECT 50ML,UNKNOWN,,,,,,,Grams,1
509993897,50,GWP/15,999,OTHERS,0000000016287,FREE - MACAROOT ENERGETIC F/PROTECT 50ML,UNKNOWN,,,,,,,Grams,1
2000000146690,50,GWP/15,999,OTHERS,0000000016288,NATURAL TOTE SPA '11,UNKNOWN,,,,,,,Grams,1
509993813,50,GWP/15,999,OTHERS,0000000016288,NATURAL TOTE SPA '11,UNKNOWN,,,,,,,Grams,1
2000000146706,18,ACCESSORIES/9,805,CYO,0000000016289,ROTTAN SPA '11,UNKNOWN,,,9,18,9,Centimeter,Grams,77
509993821,18,ACCESSORIES/9,805,CYO,0000000016289,ROTTAN SPA '11,UNKNOWN,,,9,18,9,Centimeter,Grams,77
2000000146713,50,GWP/15,999,OTHERS,0000000016290,JALA SERUT SPA '11,UNKNOWN,,,,,,,Grams,1
509993839,50,GWP/15,999,OTHERS,0000000016290,JALA SERUT SPA '11,UNKNOWN,,,,,,,Grams,1
2000000146737,50,GWP/15,801,BAG,0000000016291,JCB BAG 2011,UNKNOWN,,,,,,,Grams,1
508011872,50,GWP/15,801,BAG,0000000016291,JCB BAG 2011,UNKNOWN,,,,,,,Grams,1
