TRX_ID,JRSTORE,JRREGNUM,JRDATE,JRTIME,JRCASHIER,JRCUST
36953527,651041,002,2015-02-28 00:00:00.000000000,18:04,05212,366673
36953528,651041,002,2015-02-28 00:00:00.000000000,18:16,05212,1971125
36953564,65111,001,2015-02-28 00:00:00.000000000,12:31,07068,782427
36953565,65111,001,2015-02-28 00:00:00.000000000,12:46,07068,782427
36953566,65111,001,2015-02-28 00:00:00.000000000,12:58,07068,679910
36953568,65111,001,2015-02-28 00:00:00.000000000,13:35,07068,2044470
36953571,65111,001,2015-02-28 00:00:00.000000000,14:56,07068,0
36953572,65111,001,2015-02-28 00:00:00.000000000,15:25,07068,0
36953574,65111,001,2015-02-28 00:00:00.000000000,17:51,06649,2041679
36953581,65104,001,2015-02-28 00:00:00.000000000,19:46,05212,0
36953582,65104,001,2015-02-28 00:00:00.000000000,20:29,05212,0
36953593,651041,002,2015-02-28 00:00:00.000000000,16:15,05212,1938598
36953595,651041,002,2015-02-28 00:00:00.000000000,18:07,05212,278318
36953596,651041,002,2015-02-28 00:00:00.000000000,18:30,05212,2044278
36953597,651041,002,2015-02-28 00:00:00.000000000,19:54,05212,1020669
36953601,65108,001,2015-02-28 00:00:00.000000000,16:10,07431,263505
36953604,65108,001,2015-02-28 00:00:00.000000000,17:42,05968,0
36953606,65108,001,2015-02-28 00:00:00.000000000,19:41,05968,2044590
36953607,65108,001,2015-02-28 00:00:00.000000000,20:23,05968,2044588
36953608,65108,001,2015-02-28 00:00:00.000000000,21:09,05968,2044583
36953609,65108,001,2015-02-28 00:00:00.000000000,21:11,05968,2044584
36953695,65111,001,2015-02-28 00:00:00.000000000,20:25,06649,1752488
36953711,65114,001,2015-02-28 00:00:00.000000000,09:43,07491,0
36953713,65114,001,2015-02-28 00:00:00.000000000,16:16,07491,2044112
36953717,65111,001,2015-02-28 00:00:00.000000000,10:23,07068,1420262
36953720,65111,001,2015-02-28 00:00:00.000000000,11:44,07068,318376
36953721,65111,001,2015-02-28 00:00:00.000000000,11:51,07068,0
36953724,65111,001,2015-02-28 00:00:00.000000000,13:10,07068,120732
36953730,65111,001,2015-02-28 00:00:00.000000000,14:27,07068,218582
36953732,65111,001,2015-02-28 00:00:00.000000000,15:18,07068,1746877
36953778,65108,001,2015-02-28 00:00:00.000000000,12:37,07431,888655
36953779,65108,001,2015-02-28 00:00:00.000000000,13:07,07431,692836
36953783,65108,001,2015-02-28 00:00:00.000000000,14:25,07431,375010
36953786,65108,001,2015-02-28 00:00:00.000000000,16:23,07431,2044587
36953787,65108,001,2015-02-28 00:00:00.000000000,18:52,05968,0
36953788,65108,001,2015-02-28 00:00:00.000000000,19:47,05968,1954221
36953789,65108,001,2015-02-28 00:00:00.000000000,20:40,05968,1852810
36953790,65108,001,2015-02-28 00:00:00.000000000,14:49,07431,0
36953792,65108,001,2015-02-28 00:00:00.000000000,16:58,05968,0
36953794,65108,001,2015-02-28 00:00:00.000000000,17:07,05968,407742
36953795,65108,001,2015-02-28 00:00:00.000000000,17:20,05968,2044591
36953798,65108,001,2015-02-28 00:00:00.000000000,20:16,05968,1847113
36953799,65108,001,2015-02-28 00:00:00.000000000,20:33,05968,908410
36953815,65114,001,2015-02-28 00:00:00.000000000,19:53,14480,2044129
36953818,65114,001,2015-02-28 00:00:00.000000000,21:34,14480,2022739
36953829,65108,001,2015-02-28 00:00:00.000000000,12:41,07431,0
36953837,65108,001,2015-02-28 00:00:00.000000000,19:32,05968,2044589
36953838,65108,001,2015-02-28 00:00:00.000000000,19:42,05968,206540
36953839,65108,001,2015-02-28 00:00:00.000000000,20:06,05968,790872
36953841,65108,001,2015-02-28 00:00:00.000000000,20:34,05968,692233
36953843,65108,001,2015-02-28 00:00:00.000000000,20:44,05968,2011637
36953844,65108,001,2015-02-28 00:00:00.000000000,20:48,05968,0
36953847,65111,001,2015-02-28 00:00:00.000000000,15:30,07068,318056
36953849,65111,001,2015-02-28 00:00:00.000000000,16:36,06649,1999004
36953850,65111,001,2015-02-28 00:00:00.000000000,17:39,06649,311505
36953852,65111,001,2015-02-28 00:00:00.000000000,18:00,06649,698089
36953856,65111,001,2015-02-28 00:00:00.000000000,19:56,06649,875625
36953858,65111,001,2015-02-28 00:00:00.000000000,21:10,06649,2044469
36953868,65104,001,2015-02-28 00:00:00.000000000,18:11,05212,689406
36953870,65104,001,2015-02-28 00:00:00.000000000,21:01,05212,110031
36953871,65104,001,2015-02-28 00:00:00.000000000,21:45,05212,111
36953878,651041,002,2015-02-28 00:00:00.000000000,15:07,05212,2044282
36953882,651041,002,2015-02-28 00:00:00.000000000,17:59,05212,1868514
36953884,651041,002,2015-02-28 00:00:00.000000000,18:17,05212,2044279
36953902,65108,001,2015-02-28 00:00:00.000000000,10:19,07431,0
36953912,65111,001,2015-02-28 00:00:00.000000000,10:31,07068,0
36953913,65111,001,2015-02-28 00:00:00.000000000,11:00,07068,438186
36953914,65111,001,2015-02-28 00:00:00.000000000,11:38,07068,1719208
36953920,65111,001,2015-02-28 00:00:00.000000000,15:13,07068,869863
36953921,65111,001,2015-02-28 00:00:00.000000000,16:18,07068,1020842
36953925,65111,001,2015-02-28 00:00:00.000000000,14:19,07068,232256
36953937,65111,001,2015-02-28 00:00:00.000000000,18:17,06649,2026186
36953938,65111,001,2015-02-28 00:00:00.000000000,18:23,06649,1780607
36953940,65111,001,2015-02-28 00:00:00.000000000,21:14,06649,1854095
36953968,65111,001,2015-02-28 00:00:00.000000000,12:13,07068,2044473
36953970,65111,001,2015-02-28 00:00:00.000000000,12:59,07068,1851449
36953974,65111,001,2015-02-28 00:00:00.000000000,16:00,07068,2044472
36953978,65111,001,2015-02-28 00:00:00.000000000,16:41,06649,0
36953979,65111,001,2015-02-28 00:00:00.000000000,16:52,06649,2016104
36953995,65114,001,2015-02-28 00:00:00.000000000,15:07,07491,0
36953996,65114,001,2015-02-28 00:00:00.000000000,16:07,07491,955606
36953998,65114,001,2015-02-28 00:00:00.000000000,19:50,14480,1079072
36953999,651041,002,2015-02-28 00:00:00.000000000,19:14,05212,1433884
36954000,651041,002,2015-02-28 00:00:00.000000000,20:07,05212,0
36954004,651041,002,2015-02-28 00:00:00.000000000,20:13,05212,315119
36954037,65108,001,2015-02-28 00:00:00.000000000,13:50,07431,1309883
36954038,65108,001,2015-02-28 00:00:00.000000000,15:00,07431,906634
36954040,65108,001,2015-02-28 00:00:00.000000000,16:51,05968,2018726
36954041,65108,001,2015-02-28 00:00:00.000000000,17:47,05968,332276
36954043,65108,001,2015-02-28 00:00:00.000000000,19:06,05968,1635230
36954044,65108,001,2015-02-28 00:00:00.000000000,19:26,05968,233127
36954045,65108,001,2015-02-28 00:00:00.000000000,19:48,05968,0
36954057,65111,001,2015-02-28 00:00:00.000000000,17:45,06649,778794
36954059,65111,001,2015-02-28 00:00:00.000000000,17:55,06649,263466
36954060,65111,001,2015-02-28 00:00:00.000000000,17:58,06649,1801489
36954064,65111,001,2015-02-28 00:00:00.000000000,19:43,06649,1888313
36954066,65111,001,2015-02-28 00:00:00.000000000,20:48,06649,243257
36954067,65111,001,2015-02-28 00:00:00.000000000,21:19,06649,2044471
36954088,65114,001,2015-02-28 00:00:00.000000000,09:45,07491,2042504
36954089,65114,001,2015-02-28 00:00:00.000000000,13:08,07491,244591
36954090,65114,001,2015-02-28 00:00:00.000000000,15:16,07491,1890598
36954113,65111,001,2015-02-28 00:00:00.000000000,16:54,06649,1436245
36954116,65111,001,2015-02-28 00:00:00.000000000,18:02,06649,698089
36954120,65111,001,2015-02-28 00:00:00.000000000,20:17,06649,811778
36954121,65111,001,2015-02-28 00:00:00.000000000,20:44,06649,110952
36954140,65111,001,2015-02-28 00:00:00.000000000,11:35,07068,698155
36954143,65111,001,2015-02-28 00:00:00.000000000,13:17,07068,947502
36954154,65114,001,2015-02-28 00:00:00.000000000,20:57,14480,2044128
36954195,65114,001,2015-02-28 00:00:00.000000000,14:45,07491,1746919
36954197,65114,001,2015-02-28 00:00:00.000000000,16:51,14480,458332
36954199,65114,001,2015-02-28 00:00:00.000000000,20:24,14480,1107123
36954200,65114,001,2015-02-28 00:00:00.000000000,20:37,14480,272993
36954202,65114,001,2015-02-28 00:00:00.000000000,21:37,14480,2022739
36954203,65114,001,2015-02-28 00:00:00.000000000,21:40,14480,2044115
36954204,65114,001,2015-02-28 00:00:00.000000000,21:43,14480,2044122
36954205,65114,001,2015-02-28 00:00:00.000000000,21:48,14480,2044122
36954213,65108,001,2015-02-28 00:00:00.000000000,11:36,07431,669447
36954217,65108,001,2015-02-28 00:00:00.000000000,16:11,07431,263505
36954218,65108,001,2015-02-28 00:00:00.000000000,16:18,07431,0
36954221,65108,001,2015-02-28 00:00:00.000000000,17:12,05968,0
36954222,65108,001,2015-02-28 00:00:00.000000000,17:55,05968,45763
36954223,65108,001,2015-02-28 00:00:00.000000000,18:09,05968,692092
36954231,65114,001,2015-02-28 00:00:00.000000000,10:36,07491,263988
36954232,65114,001,2015-02-28 00:00:00.000000000,12:24,07491,1902578
36954235,65114,001,2015-02-28 00:00:00.000000000,21:10,14480,1759476
36954237,65114,001,2015-02-28 00:00:00.000000000,21:47,14480,2044122
36954265,65111,001,2015-02-28 00:00:00.000000000,16:21,07068,866367
36954266,65111,001,2015-02-28 00:00:00.000000000,16:22,07068,1746907
36954271,65111,001,2015-02-28 00:00:00.000000000,19:11,06649,1988534
36954272,65111,001,2015-02-28 00:00:00.000000000,19:26,06649,1922608
36954273,65111,001,2015-02-28 00:00:00.000000000,20:15,06649,1676772
36954321,65108,001,2015-02-28 00:00:00.000000000,21:08,05968,2044583
36954323,65108,001,2015-02-28 00:00:00.000000000,21:41,05968,210684
36954333,65111,001,2015-02-28 00:00:00.000000000,11:07,07068,234528
36954368,65114,001,2015-02-28 00:00:00.000000000,12:55,07491,1860229
36954371,65114,001,2015-02-28 00:00:00.000000000,18:19,14480,137021
36954380,65114,001,2015-02-28 00:00:00.000000000,17:29,14480,464436
36954382,65114,001,2015-02-28 00:00:00.000000000,18:59,14480,962755
36954383,65114,001,2015-02-28 00:00:00.000000000,19:48,14480,1079072
36954384,65114,001,2015-02-28 00:00:00.000000000,20:28,14480,0
36954385,65114,001,2015-02-28 00:00:00.000000000,20:45,14480,967292
36954386,65114,001,2015-02-28 00:00:00.000000000,20:55,14480,0
36954454,65111,001,2015-02-28 00:00:00.000000000,13:22,07068,1752489
36954455,65111,001,2015-02-28 00:00:00.000000000,13:25,07068,0
36954457,65111,001,2015-02-28 00:00:00.000000000,13:38,07068,2020038
36954458,65111,001,2015-02-28 00:00:00.000000000,14:18,07068,1931089
36954460,65111,001,2015-02-28 00:00:00.000000000,14:38,07068,0
36954461,65111,001,2015-02-28 00:00:00.000000000,14:41,07068,1026560
36954462,65111,001,2015-02-28 00:00:00.000000000,14:43,07068,0
36954467,65111,001,2015-02-28 00:00:00.000000000,17:49,06649,2041679
36954468,65111,001,2015-02-28 00:00:00.000000000,17:52,06649,263466
36954472,65111,001,2015-02-28 00:00:00.000000000,20:26,06649,0
36954701,65114,001,2015-02-28 00:00:00.000000000,18:55,14480,280674
